year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2010,11,18,2 Alam,"Ed Zarith, Hairie Othman","Aaron Aziz, Suhaillah Salam, Faizal Hussein, Kuswadinata, Adrea Abdullah",Drama / Horror,,[23],
2010,11,25,Ngangkung,Ismail Bob Hasim,"Shaheizy Sam, Eira Syazira, Azad Jasmin, Angah Raja Lawak, Puteri Mardiana, Azlee Jaafar, Mazlan Pet Pet",Comedy / Horror,Metrowealth Pictures,,
2010,12,2,Aku Tak Bodoh,Boris Boo,"Amy Mastura, Nam Ron, Wan Noor Aizzat, Suhairil Sunari, Aizat Hassan, Jalaluddin Hassan, Adibah Noor, Riezman Khuzaimi",Comedy / Family,Grand Brilliance,[25],
2010,12,9,Hantu Kak Limah Balik Rumah,Mamat Khalid,"Awie, Johan Raja Lawak, Delimawati, Ummi Nazeera, Avaa Vanja, Nadia Mustafar, Shy8, Zami Ismail, Man Kadir, Dewa, Sofi Jikan, Kamarul Yusoff, Zainuri Berita Harian, Azman, Pekin Ibrahim",Comedy / Horror / Mystery,Tayangan Unggul,36.23 million,1.2 million
2010,12,16,Aku Masih Dara,Ahmad Idham,"Raja Farah, Ashraf Muslim, Farid Kamil, Yana Samsudin, Dian P. Ramlee",Romance,Metrowealth Pictures,[27],
2010,12,23,Janin,M. Hitler Zami,"Eja, Hairie Othman, Kuswadinata, Rahim Razali, Sherie Merlis, Zami Ismail",Horror,Grand Brilliance,[28],
2010,12,30,Damping Malam,Ahmad Idham,"Ahmad Idham, Amy Mastura, Erynne Erynna, Azizah Mahzan, Eizlan Yusof, Putri Mardiana",Horror,Metrowealth Pictures,,
2011,1,13,Khurafat,Syamsul Yusof,"Syamsul Yusof, Liyana Jasmay, Sabrina Ali, Salina Saibi, Zendy, Fauziah Nawi, Nur Huda, Mariani, Latif Borgiba, Along Eyzendy",Horror,Skop Productions Grand Brilliance,[1],
2011,1,13,Great Day,Chiu Keng Guan,"Jack Lim, Wan Wai Fun, Vivian, Jiang Han, Royce Tan",Comedy / Drama,,,
2011,1,27,HAQ,"C.L. Hor, Jumaatun Azmi","Zul Huzaimy, Adi Putra, Nanu Baharuddin, Raja Farah",Action / Drama,,,
2011,2,10,Sini Ada Hantu,James Lee,"Alvin Wong, Baki Zainal, Mano Maniam, Eira Syazira, Kuswadinata, Fasha Sandha, Patrick Teoh, Pete Teo, Ramasundram",Horror / Mystery / Thriller,Astro Shaw,[4],
2011,2,24,Kembar Siang,Hatta Azad Khan,"Kamal Adli, Intan Ladyana, Mat Over, Zul Handyblack, Zaibo, Rozita Che Wan, Lan Pet Pet, Sabri Yunus",Comedy,,,
2011,3,10,Hikayat Merong Mahawangsa,Yusry Abdul Halim,"Stephen Rahman Hughes, Khir Rahman, Ummi Nazeera, Jehan Miskin, Jing Lu, Deborah Henry, Umie Aida",Historical / Action / Epic / War,KRU Studios,[6],
2011,3,17,Ratu The Movie,Abdul Razak Mohaideen,"Eizlan Yusof, Fouziah Ghous, Yusry Abdul Halim, Azlee Khairi, Zaibo, Aminah Rhapor, Cico Harahap",Adventure / Drama / Mystery,Lineclear Motion Pictures,[7],
2011,3,24,...Dalam Botol,Khir Rahman,"Arja Lee, Wan Raja, Fauziah Ahmad Daud, Diana Danielle",Drama,,[8],
2011,3,31,Cun,Osman Ali,"Remy Ishak, Maya Karin, Ning Baizura, Jehan Miskin",Comedy / Family / Romance,,,
2011,4,7,Dilarang Masuk,Jeffrey Chan,"Shiqin Kamal, Azma Aizal Yusoof, Muniff Isa, Isma Hanum Husein, Esma Daniel",Thriller / Horror,,[10],
2011,4,14,Senjakala,Ahmad Idham,"Zahiril Adzim, Liyana Jasmay, Faezah Elai, Aida Aris, Ruminah Sidek, Kamal Adli",Horror,Excellent Pictures,[11],
2011,4,21,Penunggu Istana,Wan Hasliza,"Siti Nadhirah Mohd Zain (Adeek), Sara Ali, Nor Zafirah Abd Rahim, Amar Asyraf Zailuddin",Horror,Grand Brilliance Primeworks Studios,[12],
2011,4,28,Seru,"Pierre Andre, Ming Jin","Pierre Andre, Nora Danish, Awal Ashaari, Cut Mutia, Azman Hassan, Sharnaaz Ahmad, Nisha Dirr",Horror / Mystery / Thriller,,,
2011,5,5,Momok Jangan Panggil Aku,M. Jamil,"M. Jamil, Cassandra Patrick, Ariff S. Shamsuddin, Zarina Zainuddin",Horror,,[14],
2011,5,12,Kongsi,Farid Kamil,"Fizo Omar, Shaheizy Sam, Zul Handyblack, Azad Jasmin, Putri Mardiana, Fida, Yana Samsudin",Action / Comedy,Metrowealth Pictures,[15],
2011,5,19,Nur Kasih The Movie,Kabir Bhatia,"Remy Ishak, Tiz Zaqyah, Fizz Fairuz",Drama,"Grand Brilliance, Juita Videi Filmspace",[16],
2011,5,26,Karak,Yusry Abdul Halim,"Shera Aiyob, Shahir Zawawi, Kilafairy, Along Eyzendy",Horror/ Thriller,,,
2011,6,2,Toyol Nakal,,"Joey Exist, Julia Ziegler, Aaron Frando, Abon, Mr. Os, Mimi M. Borhan",Comedy / Drama,,[18],
2011,6,9,KL Gangster,Syamsul Yusof,"Aaron Aziz, Adi Putra, Syamsul Yusof, Ridzuan Hashim, Sofi Jikan, Zizan Razak",Action,,[19],
2011,6,16,3 2 1 Cinta,Azhari Mohd Zain,"Farid Kamil, Diana Amir, Pierre Andre",Romance / Comedy,,[20],
2011,6,23,Rasuk,S. Baldev Singh,"Fouziah Ghous, Iqram Dinzly, Sidek Hussain, Fauziah Nawi, Khir Mohd Noor",Horror / Thriller,White Mapert Entertainment,[21],
2011,6,30,Sekali Lagi,Hashim Rejab,"Shaheizy Sam, Mia Sara Nasuha, Lisa Surihani, Bront Palarae",Romance,,,
2011,7,7,Tolong Awek Aku Pontianak,James Lee,"Zahiril Adzim, Sazzy Falak, Liyana Jasmay, Afdlin Shauki, Nurul Wahab, Jehan Miskin, Harun Salim Bachik",Horror / Comedy / Romance,Tayangan Unggul,[23],
2011,7,14,Flat 3A,Azhari Mohd Zain,"Intan Ladyana, Ery Zukhairi, Shasha",Horror,Metrowealth Pictures,[24],
2011,7,21,Senario The Movie: Ops Pocot,Ismail Bob Hasim,"Azlee Jaafar, Lan Pet Pet, Wahid Mohamed, Diana Amir, Mas Muharni, Kamal Adli",Comedy,Metrowealth Pictures,,
2011,8,31,Karipap-Karipap Cinta,Othman Hafsham,"Gambit Saifullah, Melia Aimellia, Eman Manan",Comedy / Romance,,[26],
2011,8,31,Hantu Bonceng,Ahmad Idham,"Zizan Razak, Juliana Evans, Jue Aziz, Sallehudin (Tai)",Horror / Comedy,,,
2011,9,8,Nasi Lemak 2.0,Namewee,"Namewee, Adibah Noor, Afdlin Shauki, Karen Kong, Felixia Yeap, David Arumugam, Denise Lau, Nur Fathia, Ho Yuhang, Pete Teo",Comedy / Drama,Mandarin-Cantonese-Malay-language film,[28],
2011,9,15,Raya Tak Jadi,Abdul Razak Mohaideen,"Saiful Apek, Johan Raja Lawak, Jalaluddin Hassan, Wan Sharmila",Comedy / Family,"Grand Brilliance, Lineclear Motion Pictures",[29],
2011,9,22,Bini-Biniku Gangster,Ismail Bob Hasim,"Shaheizy Sam, Intan Ladyana, Yana Samsudin, Zul Handyblack",Action / Comedy,Metrowealth Pictures,[30],
2011,9,29,Libas,Jurey Latiff Rosli,"Rosyam Nor, Johan, Scha Alyahya, Beego, Fadzly Kamarulzaman",Action / Comedy,,,
2011,10,6,Al-Hijab,Pierre Andre,"Pierre Andre, Maimon Mutalib, Aziz M. Osman, Nur Fathia, Pekin Ibrahim",Horror,,[32],
2011,10,13,Klip 3GP,Aidilfitri Mohd Yunus,"Zahiril Adzim, Sara Ali, Mimie, Adeline Anthony, Amanda Misbun, Fikhree Abu Bakar",Thriller / Drama / Horror / Mystery,Grand Brilliance,[33],
2011,10,20,Sumpahan Puaka,Surenthar,"Imuda, Mislina Mustaffa, Maimon Mutalib",Horror / Family / Mystery,,[34],
2011,10,27,Apa Tengok-Tengok,Roy Krishnan,"Jalaluddin Hassan, Sathiya, David Arumugam, Mahyon Ismail, Dilla Ahmad, Kuswadinata, Zulkifli Ismail",Action / Comedy / Drama / Musical,,,
2011,11,3,"Alamak, Toyol!",Ismail Bob Hasim,"Along Cham, Angah Raja Lawak, Hamid Gurkha",Horror / Comedy,Metrowealth Pictures,[36],
2011,11,10,Abuya,Imran Ismail,"Faizal Hussein, Jue Aziz, Yank Kassim, Adrea Abdullah",Action / Drama,,[37],
2011,11,17,Aku Bukan Tomboy,Syamsul Yusof,"Syamsul Yusof, Scha Alyahya, Shaheizy Sam, Eira Syazira, Harun Salim Bachik",Comedy / Romance / Drama,Skop Productions,[38],
2011,11,24,Misteri Jalan Lama,Afdlin Shauki,"Que Haidar, Hans Isaac, Vanida Imran, Nasir Bilal Khan, Namron",Action / Adventure / Fantasy / Mystery / Fiction,,,
2011,12,1,Ombak Rindu,Osman Ali,"Aaron Aziz, Maya Karin, Lisa Surihani, Bront Palarae",Drama / Romance,Based on the novel of the same name,[40],
2011,12,8,Datin Ghairah,Sabree Fadzil,"Aaron Aziz, Maria Farida, Hairie Othman, Faizal Hussein, Yank Kassim",Comedy / Romance,,[41],
2011,12,15,Songlap,Effendee Mazlan,"Shaheizy Sam, Syafie Naswip, Sara Ali",Action / Drama / Crime,Grand Brilliance Red Films,[42],
2011,12,22,Suatu Malam Kubur Berasap,Ernie Chen,"Angah Raja Lawak, Along Cham, Azrul Cham, Ernie Chen, Nurul Ain Nordin, Zac Diamond",Horror / Comedy,,[43],
2011,12,29,Papa I Love You,Hashim Rejab,"Lisa Surihani, Mia Sara Nasuha, Zalif Sidek, Zaidi Omar, Syanie, Zul Handyblack",Comedy / Drama,,,
2012,1,5,Sesuatu Yang Tertinggal,Asrull Hisyam,"Zahiril Adzim, Sara Ali, Shera Aiyob, Namron",Horror,Grand Brilliance,[1],
2012,1,12,Keramat,Azhari Mohd Zain,"Zul Handyblack, Rebecca Nur Al Islam, Diana Amir, Alex Yanz, Putri Mardiana, Mon Ryanti, Adey Syafrien, Hairul Azreen",Horror,Metrowealth Pictures,[2],
2012,1,19,Bujang Telajak,Abdul Razak Mohaideen,"Saiful Apek, Nabil Ahmad, Johan Raja Lawak, Fazura, Mustapha Kamal",Comedy,LineClear Motion Pictures,[3],
2012,1,19,Ah Beng The Movie : Three Wishes,Silver Yee,"Jack Lim, Gan Mei Yan",Comedy,The Film Engine Cantonese-language film,,
2012,1,26,Sumpahan Kum Kum,Ismail Bob Hasim,"Fezrul Khan, Putri Mardiana, Wawa Zainal, Shima Anuar, Lydiawati",Horror,Metrowealth Pictures,,
2012,2,2,Azura,Aziz M. Osman,"Neelofa, Shahz Jaszle, Afdlin Shauki, Erma Fatima",Drama / Romance,Ace Motion Pictures,[6],
2012,2,9,Hantu Dalam Botol Kicap,Azhari Mohd Zain,"Wawa Zainal, Mikail Andre, Mon Ryanti, Zalif Sidek, Epy Raja Lawak, Azrol Anwar, Angah Raja Lawak",Comedy / Horror,Metrowealth Pictures,[7],
2012,2,16,Chantek,Pierre Andre,"Pierre Andre, Maimon Mutalib, Nurul Ekasari, Kim Watt, Abon",Drama / Romance,Empat Semudra Plantation,[8],
2012,2,23,Adnan Sempit 2,Ismail Bob Hasim,"Shaheizy Sam, Intan Ladyana, Yana Samsudin, Angah Raja Lawak Along Raja Lawak, Ahmad Tarmimi Siregar, Aznah Hamid",Comedy,Metrowealth Pictures,[9],
2012,2,23,Fist of Dragon,Michael Chuah,"Michael Chuah, Steve Yap, Fiona Xie, Henry Thia, Wang Xiao-chen",Action / Martial Arts,,,
2012,3,1,Cinta Kura-Kura,Nizam Zakaria,"Aeril Zafrel, Tiz Zaqyah, Zizan Razak, Shy8, Farah Fauzana, Bob AF2, Fizz Fairuz, Harun Salim Bachik, Norhayati Taib, Munir",Comedy / Romance,KRU Studios,,
2012,3,8,Bunohan,Dain Said,"Faizal Hussein, Zahiril Adzim, Pekin Ibrahim, Wan Hanafi Su, Bront Palarae, Namron, Sofi Jikan",Action / Drama,Apparat,[12],
2012,3,8,SeeFood,Goh Aun Hoe,"Gavin Yap, Diong Chae Lian",Adventure / Comedy / Animation,Silver Ant,,
2012,3,15,7 Petala Cinta,Azhari Mohd Zain,"Aeril Zafrel, Diana Amir, Fizo Omar, Shima Anuar, Putri Mardiana",Drama / Romance,,,
2012,3,22,Jidin Sengal,Esmi Zahara Yusof,"Angah Raja Lawak, Along Raja Lawak, Azrul Raja Lawak, Zac Diamond, Faezah Elai, Jue Aziz",Comedy / Romance,Metrowealth Pictures,[14],
2012,3,29,Jangan Pandang-Pandang,Ahmad Idham,"Zizan Razak, Sara Ali, Nas-T, Miera Leyana, Anith Aqilah, Azhar Sulaiman",Comedy,Outloud Studios,[15],
2012,4,5,3 Temujanji,Hashim Rejab,"Yana Samsudin, Pierre Andre, Kamal Adli, Diana Amir",Comedy / Romance,Metrowealth Pictures,[17],
2012,4,19,Uncle Usin,Husri Husain,"Zizan Razak, Johan Raja Lawak, Nabil Ahmad, Shiqin Kamal, Ebby Yus",Action / Comedy,Sketch Seven,[18],
2012,4,26,Berani Punya Budak,Afdlin Shauki,"Afdlin Shauki, Nabil Ahmad, Johan Raja Lawak, Awie, Adlin Aman Ramli, Sharifah Sofia",Action / Comedy,,,
2012,5,3,Chow Kit,"Rosihan Zain, Brando Lee","Beto Kusyairi, Dira Abu Zahar, Muhamad Izzam Izzudin, Muhamad Izzam Syafiq, Muzhaffar Shah Shahrul Asran, Nur Nadzirah Rosi, Mers Sia",Action / Crime,Grand Brilliance,[20],
2012,5,10,Nongkrong,Ismail Bob Hasim,"Shaheizy Sam, Angah Raja Lawak, Epy Kodiang",Comedy / Horror,Metrowealth Pictures,[21],
2012,5,10,Ghost Buddies,Simon Sek,"Mark Lee, Maggie Shiu Mei Kei, Vivian Tok, Lim Ching Miau",Comedy / Horror,Double Vision Pictures,,
2012,5,17,Mantera,Mohd Aliyar Al-Kutthy,"Tomok, Shiqin Kamal, Kamaliya, Wael Al-Masri, Said Dashuk-Nighmatulin, Mikhail Dorojkin, Faezah Elai, Yank Kassim",Science Fiction / Fantasy,Flare Studios Malay-,,
2012,5,17,You Believe In Ghost?,M. Subash Abdullah,"Eric Chen, Rabbit Chen, Yow Lan",Horror,Genius Parade,[23],
2012,5,24,"Aku Ada, Kau Ada???",Rahila Ali,"Yana Samsudin, Shaheizy Sam, Kamal Adli",Comedy / Romance / Musical,Pencil Pictures,,
2012,5,24,Hoore! Hoore!,Saw Teong Hin,"Akim, Kilafairy, Nurfarah Nazirah, Harun Salim Bachik, Adibah Noor, Sahronozam Noor, Aznil Nawawi, Fauziah Nawi",Romance / Musical,Astro Shaw-Real Pictures co-production,,
2012,5,31,Man Sewel Datang KL,Rahman Adam,"Shuib Sepah, Julia Ziegler, Razali Hussain, Siti Sarah Raisudin, Rafidah Ibrahim",Comedy,,,
2012,5,31,Gerimis Mengundang,Ahmad Idham,"Kamal Adli, Olivia Jensen Lubis",Romance / Musical,E-Rama Creative,,
2012,6,7,X,Ahmad Rusli Mohamed Khadri,"Pierre Andre, Diana Amir, Intan Ladyana, Nuremynadia Ramli, Siti Chubby",Comedy / Romance,Metrowealth Pictures,[29],
2012,6,7,Jalan Kembali: Bohsia 2,Syamsul Yusof,"Salina Saibi, Nabila Huda, Syamsul Yusof, Sofi Jikan, Zizan Razak, Hetty Sarlene, Harun Salim Bachik",Drama / Crime,Skop Productions-Primeworks Studios,,
2012,6,14,Jiwa Taiko,Osman Ali,"Remy Ishak, Diana Danielle, Nadiya Nisaa, Bront Palarae, Fizz Fairuz, Mislina Mustafa",Action / Drama,,,
2012,6,14,Tears of the Mom,Yoko Chou,"Amber Chia, Yap Chou Chuen, Johnson Low, Anita Phang, Hero Tai, Kimura Takahiro, Azzaly Ismail",Drama / Romance / Family,Shining Production,[31],
2012,6,21,Hanya Aku Cinta Kau Seorang,Ahmad Rusli Mohamed Khadri,"Aeril Zafrel, Nuremynadia Ramli, Fezrul Khan, Mon Ryanti, Liza Abdullah",Romance,[32],,
2012,6,21,Mael Lambong,Ahmad Idham,"Zizan Razak, Juliana Evans, Taiyuddin Bakar, Shenthy Feliziana",Action,,,
2012,6,28,Baik Giler!!,Mansor Akob,"Zizan Razak, Awie, Farawahida, Justin Choo, Esma Daniel, Sharifah Shahirah, Abon, Kenchana Dewi",Comedy,Metrowealth Pictures,[33],
2012,6,28,"Aku, Kau dan Dia",Pierre Andre,"Remy Ishak, Sharifah Zarinatasha, Pekin Ibrahim, Marisa Yasmin, Harun Salim Bachik, Pierre Andre",Drama / Romance,,,
2012,7,5,8 Jam,Ahmad Idham,"Shaheizy Sam, Yana Samsudin, Fimie Don, Erynne Erynna, Lydiawati, Eizlan Yusof, Aziz Singah",Action / Drama,Metrowealth Pictures,[37],
2012,7,12,Momok Jangan Cari Pasal!,M. Jamil,"M. Jamil, Sheril Aida, Wan Raja, Myza Aryqa, P. Prem Anand Pillai, Ruminah Sidek",Comedy / Thriller / Musical,Galaksi Seni,[38],
2012,7,26,Karma Reborn,M. Subash Abdullah,"Susan Leong, Rabbit Chen, Eric Chen, Mak Jah, Alice Yap",Thriller / Horror / Suspense,,,
2012,8,9,Hantu Gangster,Namewee,"Namewee, Farid Kamil, Diana Danielle",Comedy / Horror,Prodigee Media,[40],
2012,8,19,SAM,Syafiq Yusof,"Shaheizy Sam, Lisa Surihani, Syamsul Yusof, Neelofa, Azad Jasmin",Thriller / Romance,Skop Productions,,
2012,8,19,Seram Sejuk,Azhari Mohd Zain,"Angah Raja Lawak, Zul Handyblack, Wawa Zainal, Eddy Afro, Fyza Kadir",Comedy / Horror,I-Insan Multimedia,[42],
2012,8,30,Leftwings,Faisal Chal Ahmad,"Aweera, Zouladeq, Wan Zaimie, Paly Rockstars, Ebi Kornelis, Shiqin Kamal",Musical,,,
2012,8,30,29 Februari,Edry Abdul Halim,"Remy Ishak, Jojo Goh, Izzue Islam",Drama,Bagus Tiasa,[43],
2012,9,6,Salam Cinta,Azhari Mohd Zain,"Kamal Adli, Diana Amir, Razak Ahmad",Romance,Metrowealth Pictures,[45],
2012,9,6,Hantu Air,Murali Abdullah,"Saiful Apek, Hairi Safwan, Nisha Dir",Comedy / Horror,Multimedia Entertainment,,
2012,9,13,Halim Munan,Hashim Rejab,"Fizo Omar, Zul Handyblack, Intan Ladyana",Comedy / Horror,RR Empire,[47],
2012,9,13,Kepong Gangster,Teng Bee,"Melvin Sia, Henley Hii, Hero Tai, Rayz Lim, Billy Ng",Action / Crime,Mahu Pictures,,
2012,9,20,Untuk Tiga Hari,Afdlin Shauki,"Afdlin Shauki, Rashidi Ishak, Vanida Imran, Ayu Raudhah",Drama / Romance,,,
2012,9,20,Aji Noh Motor,Mohd Razif Rashid,"Alex Yanz, Zalif Sidek, Wawa Zainal, Epy Raja Lawak",Comedy,MIG Pictures,[49],
2012,9,27,Hantu Kapcai,Ghaz Abu Bakar,"Zizan Razak, Fizz Fairuz, Remy Ishak, Hairul Azreen, Izzue Islam, Neelofa",Comedy / Horror,[50],,
2012,9,27,Sofazr The Movie: Jiwa Kacau,"Tauke Raja Lawak, Isma AF7","Wan Shahbaharin Niktah, Wan Shah Baharom Niktah, Ahmad Fairouz Mohamad, Amir Mahiyidin, Zarimi Zahari, Rodie Jamun, Angah Raja Lawak, Along Raja Lawak, Azrul Raja Lawak, Tauke Raja Lawak, Jep Sepah, Mamat Sepah, Saiful Apek, Hamid Gurkha, Yassin",Comedy / Horror,,[51],
2012,10,4,Taikun,Ismail Bob Hasim,"Angah Raja Lawak, Along Raja Lawak, Alex Yanz, Zul Suphian, Adey Syafrien",Action / Comedy,MIG Production,[53],
2012,10,4,Ngorat,Abdul Razak Mohaideen,"Iedil Putra, Aaron Aziz, Erra Fazira",Comedy / Romance,Primeworks Studios,,
2012,10,11,Aku Terima Nikahnya,Eyra Rahman,"Ady Putra, Nora Danish",Romance,Metrowealth Pictures,[55],
2012,10,11,Cinta Beruang,Ramanarayanan,"Nabil Ahmad, Jue Aziz, Tauke Raja Lawak, Ropie Cecupak, Sathiya",Comedy,Fantastic Villa,,
2012,10,18,PE3,Farid Kamil,"Farid Kamil, Kamal Adli, Diana Amir",Action / Comedy,Metrowealth Pictures,[57],
2012,10,18,Vajram,M. Subash Abdullah,"M. Suurya, Yasmin Khanif, Mislina Mustaffa, Mariani",Romance,Genius Parade,,
2012,10,25,Apa Celop Toqq...,Ahmad Idham,"Hazama Azmi, Taiyuddin Bakar, Intan Ladyana, Shenthy Feliziana, Azad Jasmin",Comedy / Romance,Excellent Pictures,,
2012,11,1,Budak Pailang,Hashim Rejab,"Aeril Zafrel, Wawa Zainal, Niezam Zaidi, Zalif Sidek, Epy Raja Lawak",Action,MIG Pictures,[60],
2012,11,1,Zaiton: Ceritaku,Esma Daniel,Nadia Aqilah,Drama,Bruang Film,,
2012,11,8,Aji Boy,Ismail Bob Hasim,"Rykarl Iskandar, Zalif Sidek, Epy Raja Lawak, Angah Raja Lawak, Adibah Yunus",Comedy,MIG Pictures,[62],
2012,11,8,"Istanbul, Aku Datang",Bernard Chauly,"Lisa Surihani, Beto Kusyairy, Tomok, Aizat Amdan",Comedy / Romance,Primeworks Studios-Red Films co-production,,
2012,11,15,War of the Worlds: Goliath,Joe Pearson,"Tony Eusoff, Jim Byrnes, Joey D'Auria, Matt Letscher, Adam Baldwin, Adrian Paul, Elizabeth Gracen, Mark Sheppard, Rob Middleton, Peter Wingfield",Action / Science Fiction / Animation,Tripod Entertainment,[64],
2012,11,22,Pontianak vs Orang Minyak,Afdlin Shauki,"Nabil Ahmad, Johan Raja Lawak, Afdlin Shauki, Khir Rahman, Lana Nordin, Adibah Noor",Comedy,English-language film,,
2012,11,29,Sepah The Movie,MP Roslin Md Sharif,"Jep Sepah, Shuib Sepah, Mamat Sepah, Anzalna Nasir, Jehan Miskin",Comedy / Romance,Vision Works,[65],
2012,11,29,Lagenda Budak Setan II: Katerina,Sharad Sharan,"Farid Kamil, Maya Karin, Bront Palarae",Drama / Romance,,[66],
2012,12,6,Strawberi Cinta,Ahmad Rusli Mohamed Khadri,"Pierre Andre, Yana Samsudin, Diana Amir",Romance,MIG Pictures,[68],
2012,12,6,Adutha Khattam,Muralikrishnan Munian,"Devendran Arunasalam, Gantiban Ben, Malar Meni Perumal, Aghonderan Sahadevan, Sasitharan Rajoo",Thriller / Horror,NGP Film,,
2012,12,13,The Golden Couple,Ah Niu,"Mike He, Fiona Xie, Steve Yap",Comedy / Romance,Asia Tropical Films,,
2012,12,20,Adik Manja Returns,Dharma Harun Al Rashid,"Dharma Harun Al Rashid, Faezah Elai, Juliana Evans, Rozita Che Wan, Jihan Raja Lawak",Comedy,,[70],
2012,12,20,The Collector,James Lee,"Chew Kin Wah, Kwai Yuen, Jack Lim, Sunny Pang, Ramana Mohan, Nigel Kok, Yeo Yann Yann, Patrick Teoh",Action / Comedy,Tayangan Unggul,,
2012,12,27,Kahwin 5,Nizam Zakaria,"Shy8, Dian P. Ramlee, Adrea Abdullah, Norish Karman, Fizz Fairuz, Sofi Jikan, Anzalna Nasir, Marsha Milan Londoh",Comedy / Romance,KRU Studios,[71],
2012,12,27,Prince of the City,Roslan Hussin,"Julian Cheah, Michael Madsen, Aaron Aziz, Jehan Miskin",Action,[72],,
2013,1,3,Minyak Dagu,Azhari Mohd Zain,"Fezrul Khan, Yana Samsudin, Fizo Omar",Horror,MIG Pictures,[1],
2013,1,17,Paper Moon,Stanley Law,"Gordon Lam, Chrissie Chau, Tedd Chan",Drama / Romance,Double Vision,[2],
2013,1,24,Juvana,Faisal Ishak,"Zahiril Adzim, Johan As'ari, Syazwan Zulkfili, Sharnaaz Ahmad, Syafie Naswip, Adlin Aman Ramli, Shera Aiyob",Action / Drama,Mandarin-language film,,
2013,1,31,Wawa Semput,Ismail Bob Hasim,"Yana Samsudin, Angah Raja Lawak, Along Cham, Adibah Yunus",Comedy,Filmscape,[3],
2013,2,7,"Hantu Kak Limah 2: Husin, Mon & Jin Pakai Toncit",Mamat Khalid,"Awie, Usop Wilcha, Delimawati, Avaa Vanja, Zami Ismail, Man Kadir, Rashidi Ishak",Comedy / Horror,Tayangan Unggul,[5],
2013,2,7,The Wedding Diary 2,Adrian Teh,"Ah Niu, Elanne Kwong, Kara Hui, Jack Choo",Comedy / Romance,Asia Tropical Films,,
2013,2,7,Once Upon a Time,Silver Yee,"Jack Lim, Gan Mei Yan, Vivian Tok, Jeff Chin, Royce Tan",Comedy,The Film Engine,,
2013,2,14,Kerat 14,Arjin Uppal,"Aaron Aziz, Siti Saleha, Fouziah Ghous",Action / Mystery / Suspense,White Merpati Entertainment,,
2013,2,21,Gangster Celop,Ahmad Idham,"Syamsul Yusof, Kamal Adli, Hanis Zalikha, Yus Raja Lawak",Action / Crime,Excellent Pictures-Skop Production co-production,,
2013,2,21,Pada Suatu Cinta Dahulu,Hashim Rejab,"Intan Ladyana, Niezam Zaidi, Wawa Zainal, Zalif Sidek, Aren Yunus",Comedy / Romance,Metrowealth Pictures,[10],
2013,2,28,Rock Oo!: Rimba Bara Kembali,Mamat Khalid,"Que Haidar, Khir Rahman, Sofi Jikan, Pekin Ibrahim, Azmi Black",Drama / Musical,,[8],
2013,3,7,Cerita Kita,Pierre Andre,"Yana Samsudin, Pekin Ibrahim, Fezrul Khan",Romance,Metrowealth Pictures,[12],
2013,3,7,Lawak Ke Der 2,Hans Isaac,"Zizan Razak, Johan Raja Lawak, Afdlin Shauki, Harun Salim Bachik, Harith Iskander, Nabil Ahmad",Comedy,Tall Order Production,,
2013,3,14,Awan Dania The Movie,Rashid Sibir,"Scha Alyahya, Elly Mazlein, Rusdi Ramli, Jehan Miskin",Comedy / Romance,,,
2013,3,14,Ops Kossa Dappa 3,K. Annan Joseph,"Loganathan, Sasi Kumar, Jasmine Micheal, Buveni Ann Mayan, Nilasha, Amber Chia, Priyanka Kothari, Kadhal Dhandabani",Action / Science-Fiction,ATV Pictures,[15],
2013,3,21,Bola Kampung The Movie,Wong Kuan Loong,"Ezlynn, Afdlin Shauki, Harris Alif, Aznil Nawawi, Adila Shakir, Baki Zainal, Marsha Milan Londoh",Adventure / Animation,,,
2013,3,21,Gila-Gila Remaja 2,V Nagaraj,"Hairul Azreen, Faralyna Idris, Fizz Fairuz, Taiyuddin Bakar",Action / Comedy,Megamovie,,
2013,3,28,Sembunyi: Amukan Azazil,Kabir Bhatia,"Diana Danielle, Remy Ishak, Umie Aida, Sharnaaz Ahmad, Fizo Omar",Fantasy / Horror,Animasia Studios,[16],
2013,4,4,2 Kalimah,Eyra Rahman,"Shaheizy Sam, Nora Danish, Yana Samsudin, Wan Hanafi Su",Romance,MIG Pictures,[19],
2013,4,11,Langgar,Syed Hussein Syed Mustafa,"Ady Putra, Hans Isaac, Namron, Khir Rahman, Natasha Hudson, Zul Huzaimy, Nadia Heng, Bell Ngasri",Action,Tayangan Unggul,[20],
2013,4,18,Kecoh! Hantu Raya Tok Chai,Opie Zami,"Saiful Apek, Intan Ladyana, Sathiya, Azrul Cham, Amir Raja Lawak, Sobri Anuar, Kuswadinata",Comedy / Horror,3Line Media,[21],
2013,4,25,Mencari Cinta,Shirin Khuzaimi,"Rusdi Ramli, Nora Danish, Riezman Khuzaimi, Connie Ahmad",Romance,,,
2013,5,2,Bisikan Syaitan,Faizul A. Rashid,"Fizz Fairuz, Nabila Huda, Wan Sharmila, Azam Pitt",Horror,Primeworks Studios,[23],
2013,5,9,Kaliyugha,S. T. Bala,"S. T. Bala, Geethanjali, Sharmini Ramesh",Drama,Fenomena Seni Produksi,[24],
