,names,links,product_ids,images,lowPrice,highPrice,price,bestRating,worstRating,ratingCount,ratingValue
58,ZANZEA Women Summer V Neck Long Sleeve Solid Shirt,https://shopee.com.my/ZANZEA-Women-Summer-V-Neck-Long-Sleeve-Solid-Shirt-i.26973388.1393622208,1393622208,https://cf.shopee.com.my/file/3e8ab684cc4d71a51b02224526fbf120,,,30.00,5.0,1.0,982,4.83
59,ZANZEA Women's Boho Loose Vintage Print Beach Party Long Shirt Dress,https://shopee.com.my/ZANZEA-Women's-Boho-Loose-Vintage-Print-Beach-Party-Long-Shirt-Dress-i.26973388.349391451,349391451,https://cf.shopee.com.my/file/5d086e91b3e6bc7498399b147f4d47a4,,,25.00,5.0,1.0,743,4.85
60,ZANZEA Wide Leg Solid Color Loose Elastic Waist Casual Pants,https://shopee.com.my/ZANZEA-Wide-Leg-Solid-Color-Loose-Elastic-Waist-Casual-Pants-i.26973388.1406912499,1406912499,https://cf.shopee.com.my/file/74d927bb8e46d4b3d66f7339ef5c1f87,,,27.50,5.0,1.0,1590,4.90
61,ZANZEA Women's Plus Size Casual Solid Ruffles Sleeve Baggy Blouse,https://shopee.com.my/ZANZEA-Women's-Plus-Size-Casual-Solid-Ruffles-Sleeve-Baggy-Blouse-i.26973388.2098047401,2098047401,https://cf.shopee.com.my/file/130c983f7a2c7af86156a84c378e8a8f,,,32.00,5.0,1.0,1458,4.91
62,ZANZEA Women Long Sleeve Buttons Down Stripe Asymmetrical Hem Blouse,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Buttons-Down-Stripe-Asymmetrical-Hem-Blouse-i.26973388.3613018045,3613018045,https://cf.shopee.com.my/file/e0a7fca67e1ac53f513841a643a91068,,,29.26,5.0,1.0,493,4.96
63,ZANZEA Women's Floral Round Neck 3/4Sleeve Casual Baggy Tops,https://shopee.com.my/ZANZEA-Women's-Floral-Round-Neck-3-4Sleeve-Casual-Baggy-Tops-i.26973388.1506897462,1506897462,https://cf.shopee.com.my/file/14f34530d2d2b8c24c18a737868b9e38,,,25.50,5.0,1.0,744,4.95
64,ZANZEA Women Oversized V Neck Casual Cotton Baggy Long Dress,https://shopee.com.my/ZANZEA-Women-Oversized-V-Neck-Casual-Cotton-Baggy-Long-Dress-i.26973388.2667071661,2667071661,https://cf.shopee.com.my/file/fd06410129d5ff699f53f0b0b61d87fd,,,36.00,5.0,1.0,537,4.95
65,ZANZEA Women Vintage Long Sleeve Casual Ethnic Maxi Dress,https://shopee.com.my/ZANZEA-Women-Vintage-Long-Sleeve-Casual-Ethnic-Maxi-Dress-i.26973388.6301468967,6301468967,https://cf.shopee.com.my/file/1caa65c08819061932c2669d8ba7e1a9,,,38.00,5.0,1.0,526,4.95
66,ZANZEA Women Lantern Sleeve Print Loose Vintage Ethnic Blouse,https://shopee.com.my/ZANZEA-Women-Lantern-Sleeve-Print-Loose-Vintage-Ethnic-Blouse-i.26973388.4217337011,4217337011,https://cf.shopee.com.my/file/b9fe782cefd9e736e9467bb905708132,,,29.00,5.0,1.0,887,4.92
67,ZANZEA Women V Neck Embroidery Flower Asymmetrical Hem Blouse,https://shopee.com.my/ZANZEA-Women-V-Neck-Embroidery-Flower-Asymmetrical-Hem-Blouse-i.26973388.4914375068,4914375068,https://cf.shopee.com.my/file/91ac356b9b4ba98ebe539ba29d466286,,,35.00,5.0,1.0,552,4.93
68,ZANZEA Women Patchwork Lapel Buttons Down Plus Size Blouse,https://shopee.com.my/ZANZEA-Women-Patchwork-Lapel-Buttons-Down-Plus-Size-Blouse-i.26973388.7216328227,7216328227,https://cf.shopee.com.my/file/ed8aa1772020b8ee34340f99c79b69e8,,,27.00,5.0,1.0,564,4.93
69,ZANZEA Women Casual Printed Long Sleeve Vintage Button Down Blouse,https://shopee.com.my/ZANZEA-Women-Casual-Printed-Long-Sleeve-Vintage-Button-Down-Blouse-i.26973388.3841708479,3841708479,https://cf.shopee.com.my/file/3107e17e06d5a6cf15ae8bc0d50d2b00,,,35.50,5.0,1.0,259,4.96
70,ZANZEA Women V Neck Casual Full Length Plus Size Long Dress,https://shopee.com.my/ZANZEA-Women-V-Neck-Casual-Full-Length-Plus-Size-Long-Dress-i.26973388.5914515977,5914515977,https://cf.shopee.com.my/file/3dfed4efbf4bce5e84964d5f9e29716c,,,40.07,5.0,1.0,473,4.93
71,ZANZEA Women Long Sleeve Casual Loose O Neck Plus Size Blouse,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Casual-Loose-O-Neck-Plus-Size-Blouse-i.26973388.5309704955,5309704955,https://cf.shopee.com.my/file/567996f34b5da01dccefa05336d5f680,,,30.99,5.0,1.0,683,4.92
72,ZANZEA Women O Neck Long Sleeve Retro Embroidery Casual Peasant Blouse,https://shopee.com.my/ZANZEA-Women-O-Neck-Long-Sleeve-Retro-Embroidery-Casual-Peasant-Blouse-i.26973388.7035661914,7035661914,https://cf.shopee.com.my/file/dc6e00dbcab3e03968b98e255fc3550f,,,36.00,5.0,1.0,487,4.93
73,ZANZEA Women V-Neck Puff Sleeve Ruffled Hem Swing Maxi Dress,https://shopee.com.my/ZANZEA-Women-V-Neck-Puff-Sleeve-Ruffled-Hem-Swing-Maxi-Dress-i.26973388.6140359507,6140359507,https://cf.shopee.com.my/file/b443825a5a2952af0e15f036b8b0713d,,,37.83,5.0,1.0,230,4.95
74,ZANZEA Women Elastic Waist Casual Cotton Linen Wide Leg Pants,https://shopee.com.my/ZANZEA-Women-Elastic-Waist-Casual-Cotton-Linen-Wide-Leg-Pants-i.26973388.5414370381,5414370381,https://cf.shopee.com.my/file/811658de6abd169eac57749053ba99d8,,,32.00,5.0,1.0,698,4.91
75,Women Loose Long Sleeve Casual Coller Button Up Maxi Dress,https://shopee.com.my/Women-Loose-Long-Sleeve-Casual-Coller-Button-Up-Maxi-Dress-i.26973388.7601068602,7601068602,https://cf.shopee.com.my/file/da5a4952049a16fc3e0b28f9cd849522,,,36.54,5.0,1.0,456,4.92
76,ZANZEA Women Buttons V Neck Long Sleeve Loose Printed Casual Blouse,https://shopee.com.my/ZANZEA-Women-Buttons-V-Neck-Long-Sleeve-Loose-Printed-Casual-Blouse-i.26973388.5528440470,5528440470,https://cf.shopee.com.my/file/282d6166a010f9ad126cae0288eac9b1,,,35.00,5.0,1.0,397,4.93
77,ZANZEA Women Long Sleeve Collared Button Down Plus Size Blouse,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Collared-Button-Down-Plus-Size-Blouse-i.26973388.4512898074,4512898074,https://cf.shopee.com.my/file/74267fd8e84aed104e80c763f2011522,,,37.00,5.0,1.0,357,4.93
78,ZANZEA Women Vintage Cotton Crew Neck Pullover Blouse,https://shopee.com.my/ZANZEA-Women-Vintage-Cotton-Crew-Neck-Pullover-Blouse-i.26973388.1255865057,1255865057,https://cf.shopee.com.my/file/6c80db2187d64f5ac3a632e45dc54886,,,21.30,5.0,1.0,323,4.93
79,ZANZEA Women Long Sleeve V Neck Button Front Printed Blouse,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-V-Neck-Button-Front-Printed-Blouse-i.26973388.2510909357,2510909357,https://cf.shopee.com.my/file/a5c11bde6b6c43c8520eeb9072e3e7a1,,,30.00,5.0,1.0,1027,4.89
80,ZANZEA Women Long Sleeve Leaves Printed Vintage Loose Blouse,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Leaves-Printed-Vintage-Loose-Blouse-i.26973388.4015138602,4015138602,https://cf.shopee.com.my/file/61c901a92e60a0023ce13d4fcb5240e9,,,25.30,5.0,1.0,375,4.92
81,ZANZEA Women Long Sleeve Printed Vintage Ruffled Muslim Maxi Dress,https://shopee.com.my/ZANZEA-Women-Long-Sleeve-Printed-Vintage-Ruffled-Muslim-Maxi-Dress-i.26973388.6746259877,6746259877,https://cf.shopee.com.my/file/537032fe1ebbba54565ed013bc8a797e,,,41.50,5.0,1.0,307,4.93
82,ZANZEA Women Flare Sleeve Cotton Linen Button Down Casual Loose Blouse,https://shopee.com.my/ZANZEA-Women-Flare-Sleeve-Cotton-Linen-Button-Down-Casual-Loose-Blouse-i.26973388.4532706561,4532706561,https://cf.shopee.com.my/file/6e303a42d99ffb604ec6b8550a4ee9b5,,,30.17,5.0,1.0,527,4.91
83,ZANZEA Women's Linen Elastic Waist Side Pockets Solid Long Pants,https://shopee.com.my/ZANZEA-Women's-Linen-Elastic-Waist-Side-Pockets-Solid-Long-Pants-i.26973388.1241548548,1241548548,https://cf.shopee.com.my/file/fb338e441a4a1e1093f640890d42d697,,,28.20,5.0,1.0,946,4.89
